identifier,error_message
https://www.dallasfed.org/-/media/Documents/banking/nic/fry-6/2023/1231/FRY6_1104923_FULL_REVISED_PUBLIC_20231231_1%20of%201.pdf,"SDKError: API error occurred: Status 400
{""object"":""error"",""message"":""File could not be fetched from url 'https://www.dallasfed.org/-/media/Documents/banking/nic/fry-6/2023/1231/FRY6_1104923_FULL_REVISED_PUBLIC_20231231_1%20of%201.pdf'"",""type"":""invalid_request_file"",""param"":null,""code"":""3310""}"
https://www.dallasfed.org/-/media/Documents/banking/nic/fry-6/2023/1231/FRY6_1110205_FULL_REVISED_PUBLIC_20231231_1%20of%201.pdf,"SDKError: API error occurred: Status 400
{""object"":""error"",""message"":""File could not be fetched from url 'https://www.dallasfed.org/-/media/Documents/banking/nic/fry-6/2023/1231/FRY6_1110205_FULL_REVISED_PUBLIC_20231231_1%20of%201.pdf'"",""type"":""invalid_request_file"",""param"":null,""code"":""3310""}"
https://www.dallasfed.org/-/media/Documents/banking/nic/fry-6/2023/1130/FRY6_1102451_FULL_REVISED_PUBLIC_20231130_1%20OF%201.pdf,"SDKError: API error occurred: Status 400
{""object"":""error"",""message"":""File could not be fetched from url 'https://www.dallasfed.org/-/media/Documents/banking/nic/fry-6/2023/1130/FRY6_1102451_FULL_REVISED_PUBLIC_20231130_1%20OF%201.pdf'"",""type"":""invalid_request_file"",""param"":null,""code"":""3310""}"
https://www.dallasfed.org/-/media/Documents/banking/nic/fry-6/2022/1231/FRY6_3635560_FULL_REVISED_PUBLIC_20221231_1%20OF%201.pdf,"SDKError: API error occurred: Status 400
{""object"":""error"",""message"":""File could not be fetched from url 'https://www.dallasfed.org/-/media/Documents/banking/nic/fry-6/2022/1231/FRY6_3635560_FULL_REVISED_PUBLIC_20221231_1%20OF%201.pdf'"",""type"":""invalid_request_file"",""param"":null,""code"":""3310""}"
https://www.dallasfed.org/-/media/Documents/banking/nic/fry-6/2022/1231/FRY6_2314260_FULL_REVISED_PUBLIC_20221231_1%20OF%201.pdf,"SDKError: API error occurred: Status 400
{""object"":""error"",""message"":""File could not be fetched from url 'https://www.dallasfed.org/-/media/Documents/banking/nic/fry-6/2022/1231/FRY6_2314260_FULL_REVISED_PUBLIC_20221231_1%20OF%201.pdf'"",""type"":""invalid_request_file"",""param"":null,""code"":""3310""}"
https://www.dallasfed.org/-/media/Documents/banking/nic/fry-6/2022/1231/FRY6_2299040_FULL_REVISED_PUBLIC_20221231_1%20OF%201.pdf,"SDKError: API error occurred: Status 400
{""object"":""error"",""message"":""File could not be fetched from url 'https://www.dallasfed.org/-/media/Documents/banking/nic/fry-6/2022/1231/FRY6_2299040_FULL_REVISED_PUBLIC_20221231_1%20OF%201.pdf'"",""type"":""invalid_request_file"",""param"":null,""code"":""3310""}"
https://www.dallasfed.org/-/media/Documents/banking/nic/fry-6/2022/1231/FRY6_1103234_FULL_REVISED_PUBLIC_20221231_1%20OF%201.pdf,"SDKError: API error occurred: Status 400
{""object"":""error"",""message"":""File could not be fetched from url 'https://www.dallasfed.org/-/media/Documents/banking/nic/fry-6/2022/1231/FRY6_1103234_FULL_REVISED_PUBLIC_20221231_1%20OF%201.pdf'"",""type"":""invalid_request_file"",""param"":null,""code"":""3310""}"
https://www.dallasfed.org/-/media/Documents/banking/nic/fry-6/2022/1130/FRY6_1102451_FULL_REVISED_PUBLIC_20221130_1%20OF%201.pdf,"SDKError: API error occurred: Status 400
{""object"":""error"",""message"":""File could not be fetched from url 'https://www.dallasfed.org/-/media/Documents/banking/nic/fry-6/2022/1130/FRY6_1102451_FULL_REVISED_PUBLIC_20221130_1%20OF%201.pdf'"",""type"":""invalid_request_file"",""param"":null,""code"":""3310""}"
https://www.dallasfed.org/-/media/Documents/banking/nic/fry-6/2022/1231/FRY6_2410304_FULL_REVISED_PUBLIC_20221231_1%20OF%201.pdf,"SDKError: API error occurred: Status 400
{""object"":""error"",""message"":""File could not be fetched from url 'https://www.dallasfed.org/-/media/Documents/banking/nic/fry-6/2022/1231/FRY6_2410304_FULL_REVISED_PUBLIC_20221231_1%20OF%201.pdf'"",""type"":""invalid_request_file"",""param"":null,""code"":""3310""}"
https://www.dallasfed.org/-/media/Documents/banking/nic/fry-6/2021/1231/FRY6_1102554_Full_Revised_Public_20211231_1%20of%201.pdf,"SDKError: API error occurred: Status 400
{""object"":""error"",""message"":""File could not be fetched from url 'https://www.dallasfed.org/-/media/Documents/banking/nic/fry-6/2021/1231/FRY6_1102554_Full_Revised_Public_20211231_1%20of%201.pdf'"",""type"":""invalid_request_file"",""param"":null,""code"":""3310""}"
